# Particle: alpha
# Energy: 4 MeV  
# Source: Hilgers (2017)
0.0 0.0166
1.0 0.0349
2.0 0.0600
3.0 0.0920
4.0 0.1082
5.0 0.1222
6.0 0.1119
7.0 0.0951
8.0 0.0836
9.0 0.0683
10.0 0.0566
11.0 0.0451
12.0 0.0346
13.0 0.0257
14.0 0.0192
15.0 0.0147
16.0 0.0096
17.0 0.0075
18.0 0.0052
19.0 0.0041
20.0 0.0029
21.0 0.0024
22.0 0.0018
23.0 0.0013
24.0 0.0010
25.0 0.00063
26.0 0.00056
27.0 0.00039
28.0 0.00040
29.0 0.00022
30.0 0.00016
31.0 0.00013
32.0 0.000063
33.0 0.000078
34.0 0.000068
35.0 0.000043
36.0 0.000033
37.0 0.000011
38.0 0.000014
39.0 0.000011
40.0 0.000014
41.0 0.000011
42.0 0.000011 
