G4EmDNAPhysics_option6, ion, 1, 1, 1, 1, MeV, 100000, Cytoskeleton, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 1, 1, 1, MeV, 100000, Ribosome, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 1, 1, 1, MeV, 100000, Histone, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 1, 1, 1, MeV, 100000, NMDA, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 2, 1, 2, MeV, 100000, Cytoskeleton, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 2, 1, 2, MeV, 100000, Ribosome, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 2, 1, 2, MeV, 100000, Histone, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 2, 1, 2, MeV, 100000, NMDA, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 2, 4, 2, 4, MeV, 100000, Cytoskeleton, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 2, 4, 2, 4, MeV, 100000, Ribosome, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 2, 4, 2, 4, MeV, 100000, Histone, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 2, 4, 2, 4, MeV, 100000, NMDA, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 6, 3, 6, MeV, 100000, Cytoskeleton, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 6, 3, 6, MeV, 100000, Ribosome, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 6, 3, 6, MeV, 100000, Histone, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 6, 3, 6, MeV, 100000, NMDA, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 7, 3, 7, MeV, 100000, Cytoskeleton, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 7, 3, 7, MeV, 100000, Ribosome, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 7, 3, 7, MeV, 100000, Histone, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 7, 3, 7, MeV, 100000, NMDA, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 6, 12, 6, 12, MeV, 100000, Cytoskeleton, PREDEFINED, 0, angstrom, 4, 6GB, 10GB
